source_file,alpha_deg,q_inf_Pa,airspeed_mps,rho_kgm3,sting_normal_N,sting_axial_N,sting_pitching_Nm,Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
ASEN_2802___WTData_LA_Test_AoA_-1,0.0,109.89154999999998,14.956849999999998,0.98235,3917.671,-2074.1489999999994,-104.296,106.64415000000001,-49.28639999999999,-45.1301,-118.99395,-108.9882,-99.92764999999999,-73.6286,-78.2299,83.73445,-13.19105,-10.663099999999998,-26.174249999999994,2.1519000000000004,-46.1068,66.7156,-79.77415
ASEN_2802___WTData_LA_Test_AoA_-10,0.0,117.39849999999998,15.46435,0.9817,3917.671,-2074.1489999999994,-104.296,54.187850000000005,45.8981,20.07705,-64.77950000000001,-77.3663,-85.0619,-71.42925,-85.56785,90.59830000000001,-88.86484999999999,-78.48125,-91.0327,-41.64635,-92.40655000000001,65.2559,-83.09559999999999
ASEN_2802___WTData_LA_Test_AoA_-11,0.0,108.50485,14.869000000000003,0.98155,3917.671,-2074.1489999999994,-104.296,43.70005,47.8523,22.095399999999998,-56.09815,-69.8903,-77.82630000000002,-66.62254999999999,-81.32804999999999,83.13785,-87.3536,-73.9984,-90.29429999999999,-39.544450000000005,-87.21285,59.37375000000001,-80.1397
ASEN_2802___WTData_LA_Test_AoA_-12,0.0,109.53009999999999,14.939250000000001,0.9816499999999999,3917.671,-2074.1489999999994,-104.296,42.77954999999999,51.280899999999995,25.088249999999995,-55.920600000000015,-70.57055,-80.3957,-69.1807,-86.85799999999999,84.40164999999999,-91.622,-74.73155,-88.37679999999999,-38.60895,-86.89935,61.03499999999998,-81.00105
ASEN_2802___WTData_LA_Test_AoA_-13,0.0,110.23635000000002,14.989799999999999,0.9813500000000002,3917.671,-2074.1489999999994,-104.296,33.95945,56.16074999999999,29.37135,-50.01625,-66.2091,-76.6793,-67.19915,-86.3761,82.19815,-91.56455,-77.14165,-90.70325000000001,-39.12635,-87.21295,59.2698,-81.64304999999999
ASEN_2802___WTData_LA_Test_AoA_-14,0.0,110.53590000000001,15.006499999999999,0.9817,3917.671,-2074.1489999999994,-104.296,28.918599999999998,61.593849999999996,33.73479999999999,-46.142900000000004,-64.16350000000001,-75.56860000000002,-66.93220000000001,-87.57525000000001,83.07630000000002,-96.2446,-79.97370000000001,-91.2664,-40.302600000000005,-88.86925,59.56579999999999,-83.30964999999999
ASEN_2802___WTData_LA_Test_AoA_-2,0.0,110.25985,14.98425,0.9821500000000001,3917.671,-2074.1489999999994,-104.296,97.21045,-22.079099999999997,-27.091050000000003,-102.07465,-96.46315000000001,-90.64555,-66.2903,-68.22729999999999,85.16059999999999,-12.7116,-12.2662,-28.922649999999997,-6.880450000000001,-69.04549999999999,61.7937,-102.93274999999998
ASEN_2802___WTData_LA_Test_AoA_-3,0.0,110.01124999999999,14.973899999999997,0.98135,3917.671,-2074.1489999999994,-104.296,81.03890000000001,0.47004999999999997,-12.161850000000001,-87.5775,-85.85495000000002,-82.22035000000002,-60.323350000000005,-60.414199999999994,86.799,-15.921949999999999,-15.092950000000002,-31.42185,-9.0442,-97.18840000000002,57.505250000000004,-118.2087
ASEN_2802___WTData_LA_Test_AoA_-4,0.0,111.27754999999999,15.056899999999999,0.9817000000000002,3917.671,-2074.1489999999994,-104.296,61.6472,16.2036,-1.0904,-76.68250000000002,-77.76759999999999,-76.411,-56.19315,-55.3162,87.14574999999999,-17.8866,-17.3501,-34.128049999999995,-15.470700000000003,-117.41485,52.7598,-126.32215
ASEN_2802___WTData_LA_Test_AoA_-5,0.0,113.64790000000002,15.222999999999999,0.98105,3917.671,-2074.1489999999994,-104.296,42.02615,32.491600000000005,9.8031,-68.62210000000002,-72.71985000000001,-72.84459999999999,-53.8597,-52.1527,91.86545000000001,-21.64965,-20.5985,-39.17965,-8.877749999999999,-148.73455,48.362249999999996,-145.36470000000003
ASEN_2802___WTData_LA_Test_AoA_-6,0.0,109.98775,14.967950000000002,0.98195,3917.671,-2074.1489999999994,-104.296,22.388400000000004,46.97580000000001,22.213500000000003,-52.428650000000005,-59.3205,-61.25260000000001,-45.490700000000004,-44.67235,90.0147,-25.751250000000006,-23.15615,-54.71205,-44.656850000000006,-150.28674999999998,40.39265,-163.428
ASEN_2802___WTData_LA_Test_AoA_-7,0.0,108.4076,14.863900000000001,0.9814999999999999,3917.671,-2074.1489999999994,-104.296,35.7529,47.04279999999999,23.054000000000002,-50.35594999999999,-58.17039999999999,-61.18820000000001,-46.28795,-46.7669,88.57145,-51.06995,-63.4513,-105.35395000000001,-61.872350000000004,-125.03315,51.3891,-115.06675000000003
ASEN_2802___WTData_LA_Test_AoA_-8,0.0,109.35525,14.926150000000002,0.98185,3917.671,-2074.1489999999994,-104.296,42.937200000000004,45.401,21.538800000000002,-55.231799999999986,-64.5247,-69.5326,-55.277649999999994,-61.211749999999995,88.51034999999999,-78.35345000000001,-83.63880000000002,-96.01290000000002,-54.80884999999999,-108.55834999999999,56.472,-100.3373
